Book-Title,Book-Author,Publisher
Arnold: An Unauthorized Biography,Wendy Leigh,McGraw-Hill
Freedom Train: The Story of Harriet Tubman,Dorothy Sterling,Scholastic
Little Princess,Frances Hodgson Burnett,Barnes Noble Books
Light on Yoga: Yoga Dipika,B. K. S. Iyengar,Schocken Books
Emotionally Weird: A Novel,Kate Atkinson,Picador USA
Skipping Christmas,JOHN GRISHAM,Doubleday
The Last Juror,John Grisham,Doubleday
Cooking Light,Susan M. McIntosh,Leisure Arts
Ill Wind (Anna Pigeon Mysteries (Paperback)),Nevada Barr,Avon Books
Nelson's Bedtime Bible Stories : 150 Passages from the International Children's Bible,Paul Gross,Nelson Bibles
"Bye, Bye, Butterfree (Pokemon Adventure (Golden Numbered))",Diane Muldrow,Golden Books
American Gothic,Robert Bloch,Tor Books (Mm)
"My Big Fake Green-Card Wedding (Harlequin American Romance, 987)",Mollie Molay,Harlequin
English Handbook for Christian Schools,Grace Colling,Bob Jones Univ Pr
Summer Sisters,Judy Blume,Delacorte Press
Fahrenheit 451 / Fahrenheit 451,Ray Bradbury,Minotauro
The Overseer,Jonathan Rabb,Random House Inc
Valhalla Rising (Dirk Pitt Adventures (Paperback)),Clive Cussler,Berkley Publishing Group
U.S.S. Seawolf,Patrick Robinson,HarperTorch
Day of Reckoning,Jack Higgins,Berkley Publishing Group
Raptor Red,ROBERT T. BAKKER,Bantam
The Dracula Tape,Fred Saberhagen,Baen
Cold Sea Rising,Richard Moran,Berkley Pub Group
Threat Vector,Michael Dimercurio,Onyx Books
America : A Jake Grafton Novel (A Jake Grafton Novel),Stephen Coonts,St. Martin's Paperbacks
Nimitz Class,Patrick Robinson,HarperTorch
Hitchhikers's Guide to the Galaxy,Douglas Adams,Pocket
Tales of Terror and the Supernatural,Wilkie Collins,Dover Publications
Un retour simple: Roman,Raymond Cloutier,LanctÃ´t Ã©diteur
Braveheart,Randall Wallace,Pocket
The Hallelujah Side,Rhoda Huffey,Mariner Books
Obliviously On He Sails : The Bush Administration in Rhyme,CALVIN TRILLIN,Random House
Riding the Bus with My Sister: A True Life Journey,Rachel Simon,Houghton Mifflin Company
Perfect Skin: A Novel,Nick Earls,St. Martin's Press
The Mount: A Novel,Carol Emshwiller,Small Beer Press
Callahan's Lady,Spider Robinson,Baen
Half Asleep in Frog Pajamas,Tom Robbins,Bantam
Allegra Maud Goldman,Edith Konecky,Feminist Press
At Home in Mitford (The Mitford Years),Jan Karon,Viking Books
Bel Canto: A Novel,Ann Patchett,Perennial
All Around the Town,Mary Higgins Clark,Pocket Star
Othello (3rd Series),William Shakespeare,Thomas Nelson Publishers
A Civil Action,JONATHAN HARR,Vintage
Faking It,Jennifer Crusie,St. Martin's Paperbacks
On Mystic Lake,Kristin Hannah,Ballantine Books
Angel Falls,KRISTIN HANNAH,Ballantine Books
Blue Moon,Luanne Rice,Bantam Books
The Fountainhead,Ayn Rand,New American Library
The Loop,Nicholas Evans,Dell Publishing Company
Emma,Jane Austen,New Amer Library Classics
Good in Bed,Jennifer Weiner,Washington Square Press
Mansfield Park (Signet Classics (Paperback)),Jane Austen,Signet Book
Out of Sight,Elmore Leonard,Dell
Sense and Sensibility,Jane Austen,Signet Book
Surfacing,MARGARET ATWOOD,Anchor
The Vineyard,Barbara Delinsky,Pocket Books
The Count of Monte Cristo (Bantam Classics),ALEXANDRE DUMAS,Bantam
With Heart,Dorothy Garlock,Warner Vision
The Big Sleep,Raymond Chandler,Vintage Books USA
We'll Meet Again,Mary Higgins Clark,Pocket
How to Make an American Quilt,Whitney Otto,Ballantine Books
Ellen Foster,Kaye Gibbons,Vintage Books
Where or When  : A Novel,Anita Shreve,Harvest Books
"Sex &amp, the City",Candace Bushnell,Warner Books
Of Love and Other Demons (Penguin Great Books of the 20th Century),Gabriel Garcia Marquez,Penguin Books
The Hours : A Novel,Michael Cunningham,Picador
Resistance : A Novel,Anita Shreve,Back Bay Books
A Natural History of Love,Diane Ackerman,Vintage Books USA
Alias Grace : A Novel,Margaret Atwood,Anchor
Jamaica Inn,Daphne Du Maurier,Avon
Almost Paradise,Susan Isaacs,Ballantine Books
Cold Mountain : A Novel,CHARLES FRAZIER,Vintage
Fried Green Tomatoes at the Whistle Stop Cafe,Fannie Flagg,McGraw-Hill
Bird by Bird: Some Instructions on Writing and Life,Anne Lamott,Anchor
Circle of Three: A Novel,Patricia Gaffney,HarperTorch
Lily White,Susan Isaacs,HarperTorch
Cha Cha Cha,Jane Heller,Kensington Publishing Corp.
The Best of Roald Dahl,Roald Dahl,Vintage Books USA
The Grave Maurice (Richard Jury Novels),Martha Grimes,Onyx Books
The Cabinet of Curiosities,Douglas Preston,Warner Books
The Years of Rice and Salt,Kim Stanley Robinson,Spectra Books
Midnight Runner,Jack Higgins,Berkley Publishing Group
On language,William Safire,Times Books
A Killing Gift,Leslie Glass,Onyx Books
El Gran Gatsby,F.Scott Fitzgerald,Colleccion Millenium
The Last Time They Met : A Novel,Anita Shreve,Back Bay Books
Adventures of Huckleberry Finn (Dover Thrift Editions),Mark Twain,Dover Publications
Bless the Child,Cathy Cash Spellman,Pocket
The Green Mile,Stephen King,Pocket
Somebody to Love? : A Rock-and-Roll Memoir,Grace Slick,Warner Books
"Bitter Blood: A True Story of Southern Family Pride, Madness, and Multiple Murder",Jerry Bledsoe,Onyx Books
"Name &amp, Address Withheld (Red Dress Ink (Paperback))",Jane Sigaloff,Red Dress Ink
Rachel's Holiday,Marian Keyes,Avon Books
Thing of Beauty,Stephen Fried,Pocket
COURTNEY LOVE: THE QUEEN OF NOISE,Melissa Rossi,Pocket
Sinners,Jackie Collins,HarperTorch
Little Girl Lost,Drew Barrymore,Pocket
The Princess Diaries,Meg Cabot,HarperTrophy
North Country Man,Carrie Alexander,Harlequin
The Farmer's Wife,Lori Handeland,Harlequin
The Comeback Girl  (Those Sullivan Sisters),Debra Salonen,Harlequin
Secret Ceremonies: A Mormon Woman's Intimate Diary of Marriage and Beyond,Deborah Laake,Dell Publishing Company
Another Man's Wife,Rebecca Winters,Harlequin
Sarah's Baby  (Koomera Crossing),Margaret Way,Harlequin
Little Girl Lost,Marisa Carroll,Harlequin
The Wailing Wind,Tony Hillerman,HarperTorch
Native American Postcolonial Psychology (Suny Series in Transpersonal and Humanistic Psychology),Eduardo Duran,State University of New York Press
A Heartbreaking Work of Staggering Genius,Dave Eggers,Vintage Books USA
The Mystery of Capital: Why Capitalism Triumphs in the West and Fails Everywhere Else,Hernando De Soto,Basic Books
The Other Path: The Economic Answer to Terrorism,Hernando De Soto,Perseus Books Group
"In The Blink Of An Eye (The Taylor Clan) (Harlequin Intrigue, No. 651)",Julie Miller,Harlequin
The Importance of Being Earnest,Oscar Wilde,Avon
Les Thanatonautes,Bernard Werber,LGF
Lost in a Good Book (Thursday Next Novels (Penguin Books)),Jasper Fforde,Penguin Books
Bad Heir Day,Wendy Holden,Plume Books
Charlotte Gray,Sebastian Faulks,Vintage Books USA
Apocalipstick,SUE MARGOLIS,Delta
Harem: A Novel,Dora Levy Mossanen,Touchstone
The Dress Lodger (Ballantine Reader's Circle),Sheri Holman,Ballantine Books
Le Divorce (William Abrahams Book),Diane Johnson,Plume Books
Valley of the Dolls: A Novel,Jacqueline Susann,Grove Press
Tunnel Vision (V.I. Warshawski Novels (Paperback)),Sara Paretsky,Dell
Comfortable Wife,Stephanie Laurens,Harlequin
I Was Amelia Earhart,Jane Mendelsohn,Random House Inc
Summer Harvest,Madge Swindells,Signet Book
"The Fellowship of the Ring (The Lord of the Rings, Part 1)",J.R.R. TOLKIEN,Del Rey
Watership Down,Richard George Adams,Harpercollins
The Eyre Affair (Alex Awards (Awards)),Jasper Fforde,Viking Books
As Nature Made Him : The Boy Who Was Raised as a Girl,John Colapinto,Perennial
Herzsprung,Ildiko Kurthy,Distribooks Inc
Basin and Range,John McPhee,Noonday Press
Breakfast of Champions,Kurt Vonnegut,Dell Publishing Company
The Art of Doing Nothing: Simple Ways to Make Time for Yourself,Veronique Vienne,Clarkson N Potter Publishers
Embers,SANDOR MARAI,Vintage
Tom Clancys Power Plays 2. Tigerjagd.,Tom Clancy,Heyne
The  Garden of Ediacara,Mark A. S. McMenamin,Columbia University Press
Just Plain Cat,Nancy K Robinson,Scholastic Inc
Way Out West Lives a Coyote Named Frank (Picture Puffins),Jillian Lund,Puffin Books
In My Father's House (Point),Ann Rinaldi,Scholastic
Island of the Blue Dolphins (Laurel Leaf Books),Scott O'Dell,Laure Leaf
How to Fight a Girl,THOMAS ROCKWELL,Yearling
Romantic Obsessions and Humiliations of Annie Sehlmeier,Louise Plummer,Laurel-Leaf Books
Shadow of the Hegemon (Ender Wiggins Saga (Paperback)),Orson Scott Card,Tor Books
Magic Casement (Man of His Word),Dave Duncan,Del Rey Books
"Tantras (Forgotten Realms:  Avatar Trilogy, Book 2)",Richard Awlinson,Wizards of the Coast
"Shadowdale (Forgotten Realms:  Avatar Trilogy, Book One)",Scott Ciencin,Wizards of the Coast
The Night Crew,John Sandford,Berkley Publishing Group
CSI: Sin City,Max Allan Collins,Pocket
Blackmantle (Keltiad),Patricia Kennealy-Morrison,Eos
The Blue Nowhere : A Novel,Jeffery Deaver,Pocket
Sudden Prey,John Sandford,Berkley Publishing Group
Always a Thief,Kay Hooper,Bantam Books
Once a Thief,Kay Hooper,Bantam Books
A Thousand Words for Stranger (Daw Book Collectors),Julie E. Czerneda,Daw Books
Deck the Halls,Mary Higgins Clark,"Simon &amp, Schuster"
"Der Mann, der's wert ist.",Eva Heller,"Droemersche Verlagsanstalt Th. Knaur Nachf., GmbH &amp, Co."
Come Home Forever,Jan McDaniel,Scarlet Books
The Renegades: Cole (Renegades),Genell Dellin,Avon
Christmas Miracles,Betty Neels,Harlequin
Fires in the Mist,Barbara Dolan,New Amer Library (Mm)
Return to Love (Arabesque),Viveca Carlysle,Bet Books
The Marriage Plan,Judy Jackson,Scarlet Books
The Eagle and the Dove,Lewis Orde,Zebra Books
The Donovan Legacy,Nora Roberts,Harlequin
"It Happened to Nancy : By an Anonymous Teenager, A True Story from Her Diary (Confident Collector)",Beatrice Sparks,Avon
Die Nadel,Ken Follett,Gustav Lubbe Verlag GmbH
A Year in Provence,Peter Mayle,Vintage Books USA
Deus Irae,Philip Kindred Dick,Gallimard
Le Vieil Homme et la Mer,Ernest Hemingway,Gallimard
The Big Picture,Douglas Kennedy,Warner Books (Mm)
Radio libre Albemuth,Philip Kindred Dick,DenoÃ?Â«l
Siva,Philip K. Dick,DenoÃ?Â«l
Dr. Bloodmoney,Philip K. Dick,J'ai lu
L'oeil de la sibylle,Dick,Gallimard
A rebrousse-temps,Philip K. Dick,J'ai lu
La Perle,John Steinbeck,Gallimard
Le Meilleur des mondes,Aldous Huxley,Pocket
Histoires Extraordinaires,Edgar Allan Poe,Gallimard French
VÃ?Â©ronika dÃ?Â©cide de mourir,Paulo Coelho,LGF
La Maison des feuilles,Mark Z. Danielewski,DenoÃ?Â«l
Risque mortel,Robin Cook,LGF
"Balade au bout du monde, tome 4 : La pierre de folie",Laurent Vicomte,GlÃ?Â©nat
"Le Guide galactique, tome 1",Jean Bonnefoy,Gallimard
La porte obscure,Philip K. (Philip Kindred) Dick,Presses de la CitÃ?Â©
"Nouvelles : tome 2, 1953-1981",Philip Kindred Dick,DenoÃ?Â«l
La Nuit Des Temps,Rene Barjavel,Presses De La Cite French
LA Peste (Folio Series: No. 42),Albert Camus,Distribooks
"Bears in the Night (Bright &amp, Early Books)",Stan Berenstain,Random House
A First Book of Shapes (Preschool Dinosaur Playhouse),A. J. Wood,Modern Publishing
Edgar the Lion Who Would Be a Good King,Sunny Griffin,Landoll
The Not-So-Perfect Picnic,Disney Enterprises Inc,Advance Publishers LLC
Peters Welcom Tell a Tale Book,Maida Silverman,Golden Books
Guerre De Troie N'Aura Pas Lieu,Jean Giraudoux,Distribooks Inc
Miro (Famous Artists),Nicholas Ross,Barron's Educational Series
The Indian in the Cupboard,Lynne Reid Banks,HarperTrophy
The Time Machine and the Invisible Man,H. G. Wells,Signet Classics
Sworn to Defend,Carolyn Wheat,Berkley Publishing Group
What You Wish for,Fern Michaels,Zebra Books
When the Wind Blows,James Patterson,Replica Books
Hyperion,DAN SIMMONS,Bantam
Dad Alert! (Orchard Red Apple S.),Ros Stanley,Orchard Books
"No Survivors (Nightmare Room Thrillogy, 3)",R. L. Stine,Avon Books
Whizzard (Tales of the Dark Forest S.),Steve Barlow,Trafalgar Square Books
Circle of Three #3: Second Sight (Circle of Three),Isobel Bird,Avon
The Capture (Animorphs (Paperback Numbered)),Katherine Applegate,Scholastic
Pet Sematary,Stephen King,Pocket
Lazarillo De Tormes (Biblioteca Didactica Anaya),Anonimo,Continental Book Company
The Second Rumpole Omnibus (Crime Monthly),John Mortimer,Penguin Books
Johnny Long Legs (Matt Christopher Sports Classics),Matthew F Christopher,"Little, Brown"
Full House,Janet Evanovich,Audio Renaissance
Witching Hour (Lives of the Mayfair Witches),Anne Rice,Ballantine Books
Including Students with Special Needs: A Practical Guide for Classroom Teachers,Marilyn Penovich Friend,Prentice Hall
"House Harkonnen (Dune: House Trilogy, Book 2)",Brian Herbert,Bantam Books
Sailing on the Ice: And Other Stories from the Old Squire's Farm,C. A. Stephens,Thomas Nelson Inc
"House Atreides (Dune: House Trilogy, Book 1)",Brian Herbert,Spectra Books
Bertha Lum (American Printmakers),Mary Evans O'Keefe Gravalos,Smithsonian Inst Pr
Where the Suckers Moon: An Advertising Story,Randall Rothenberg,Alfred A. Knopf
The Rocky Mountain Wonderland,Enos A. Mills,Univ of Nebraska Pr
First King of Shannara,Terry Brooks,Ballantine Books
Me and My Little Brain,JOHN FITZGERALD,Yearling
The Swan: A Novel,Sebastiano Vassalli,Harvill Press
Asylum,Patrick McGrath,Random House Inc
Swimmer in the Secret Sea: Novella,William Kotzwinkle,Chronicle Books Llc
And the Sea Will Tell,Vincent Bugliosi,"W W Norton &amp, Co Inc"
Fishboy: A Ghost's Story,Mark Richard,Anchor
Popcorn,Ben Elton,Thomas Dunne Books
All New Great American Favorite Brand Name Cookbook,Ltd Editorial Staff Publication International,Publications International
The Sparrow,MARY DORIA RUSSELL,Fawcett Books
Glad Rags,MacDonald Harris,Story Line Press
Slightly  Chipped: Footnotes in Booklore,Lawrence Goldstone,St Martins Pr
"The 3,000 Mile Garden: An Exchange of Letters on Gardening, Food, and the Good Life",Leslie Land,Viking Books
"The Word \Desire\""""",Rikki Ducornet,"Henry Holt &amp, Company"
Les Miserables,VICTOR HUGO,Fawcett
Before I Say Good-Bye : A Novel,Mary Higgins Clark,"Simon &amp, Schuster"
Summer Sisters,Judy Blume,Dell Publishing Company
Look at Me,Jennifer Egan,Anchor Books/Doubleday
I Capture the Castle,Dodie Smith,St. Martin's Griffin
PowerPoint 2000 for Windows for Dummies,Doug  Lowe,For Dummies
What to Expect When You're Expecting (Revised Edition),Arlene Eisenberg,Workman Pub Co
Babyville,JANE GREEN,Broadway
On Becoming Baby Wise: Parenting Your Pre Toddler 5-15 Months (On Becoming. . .),Gary Ezzo,"Hawks Flight &amp, Association"
"On Becoming Baby Wise: The Classic Reference Guide Used by Over 1,000,000 Parents Worldwide",Gary Ezzo,"Hawks Flight &amp, Association"
"Starting Your Marriage Right &lt,i>what You Need To Know In The Early Years To Make It Last A Lifetime&lt,/i>",Dennis Rainey,Nelson Books
The Motley Fool Investment Guide : How The Fool Beats Wall Streets Wise Men And How You Can Too,David Gardner,Fireside
What to Expect the First Year,Arlene Eisenberg,Workman Publishing
Snow Queen,Joan D. Vinge,Bantam Doubleday Dell
Tea with the Black Dragon,R. A. MacAvoy,Bantam Books
Tattoo Girl,Brooke Stevens,St. Martin's Griffin
The Alchemist: A Fable About Following Your Dream,Paulo Coelho,HarperSanFrancisco
Miss Julia Speaks Her Mind : A Novel,Ann B. Ross,Perennial
Big Stone Gap: A Novel (Ballantine Reader's Circle),Adriana Trigiani,Ballantine Books
Your Blues Ain't Like Mine,BEBE MOORE CAMPBELL,Ballantine Books
"Use What You've Got, and Other Business Lessons I Learned from My Mom",Barbara Corcoran,"Listen &amp, Live Audio"
Nina: Adolescence,Amy Hassinger,"Listen &amp, Live Audio"
Fear of Flying,Erica Jong,New American Library
Diamond Spur,Diana Palmer,Mira
The Reader,Bernhard Schlink,Vintage Books USA
The Silmarillion,J.R.R. Tolkien,Houghton Mifflin
The Torn Skirt,Rebecca Godfrey,Perennial
There's a Spiritual Solution to Every Problem,Wayne W. Dyer,HarperCollins
"The Florabama Ladies' Auxiliary &amp, Sewing Circle",Lois Battle,Penguin Books
Howl and Other Poems (Pocket Poets),Allen Ginsberg,City Lights Publishers
"Frankenstein: Complete, Authoritative Text With Biographical, Historical, and Cultural Contexts, Critical History, and Essays from Contemporary Critic ... tive (Case Studies in Contemporary Criticism)",Mary Wollstonecraft Shelley,Bedford Books
Short Stories of Ernest Hemingway (A Scribner classic),Ernest Hemingway,"Simon &amp, Schuster"
Back When We Were Grownups : A Novel (Ballantine Reader's Circle),ANNE TYLER,Ballantine Books
To Kill a Mockingbird,Harper Lee,Warner Books
Birds Bees And Babies 1994,Nora Roberts,Silhouette
The Cat Who Played Brahms,Lilian Jackson Braun,Jove Books
Black Notice,Patricia Daniels Cornwell,Putnam Pub Group
Irish Eyes: A Nuala Anne McGrail Novel (Nuala Anne McGrail Novels (Paperback)),Andrew M. Greeley,Forge
Totally Useless Office Skills: 75 Great Ways to Play at Work,Rick Davis,Hobblebush Books
Catechism of the Catholic Church,Catholic Church,USCCB
Father McBride's Family Catechism: Based on the Catechism of the Catholic Church,Alfred McBride,Our Sunday Visitor
The Missionary's Catechism,Russell L. Ford,US
The Enthusiasms of Roberston Davies,Robertson Davies,Penguin USA
As Nature Made Him: The Boy Who Was Raised As a Girl,John Colapinto,HarperCollins Publishers
Something Under the Bed Is Drooling,Bill Watterson,Andrews McMeel Publishing
The War Against Population: The Economics and Ideology of Population Control,Jacqueline Kasun,Ignatius Press
Mere Christianity,C. S. Lewis,"Broadman &amp, Holman Pub"
Haroun and the Sea of Stories,Salman Rushdie,Penguin Putnam~trade
"Wedding Day Murder: A Lucy Stone Mystery (Meier, Leslie. Lucy Stone Mystery.)",Leslie Meier,Kensington Publishing Corporation
One for the Money (A Stephanie Plum Novel),Janet Evanovich,St. Martin's Paperbacks
The Complete Book of Food Counts (Complete Book of Food Counts),Corinne T. Netzer,Dell
The Beach House,James Patterson,"Little, Brown"
Bar sport duemila (I narratori/Feltrinelli),Stefano Benni,Feltrinelli
Senza Sangue,Alessandro Baricco,Rizzoli Publications
Superior Women,Alice Adams,Fawcett Books
The BOOK OF BEBB,Frederick Buechner,Scribner
Homo Faber,Max Frisch,Distribooks Int'l+inc
"Mason &amp, Dixon",Thomas Pynchon,Picador
